Name,Address,Latitude,Longitude,rating,text,time
"Hansen, Salazar and Collins Hotel","74970 Tammy Springs Suite 198, Ronaldton, IA 82387",83.436326,45.749533,3.7,Too serious yourself bank thing son.,3/28/2024
Chang-Crawford Museum,"96299 Amber Fields Suite 390, Michaelburgh, MS 35413",72.897994,34.088543,3.3,Majority over example information note town expert number.,8/5/2024
"Rogers, Alexander and Shields Restaurant","297 Brandon Drive, Abbottland, VT 39320",57.941594,51.27354,4,Customer environment good number degree recently school.,12/11/2024
Smith-Fowler Park,"39666 Miranda Court Apt. 190, Lake Scottfort, IA 24770",26.380397,-84.131515,4.2,Of eight eight rise feeling and build college example film.,12/27/2024
Gilmore-Cantrell Park,"438 Pam Throughway Suite 061, East Melanieville, FL 13112",-23.151715,79.237397,4.5,Of likely listen top write high member moment ever become.,6/30/2024
Dickerson-Barrett Museum,"639 Joseph Canyon, Lake Nicole, WY 16660",-21.012665,77.667878,3.6,Everything arm speech save.,8/6/2024
"Johnson, Hutchinson and Thompson Restaurant","978 Daniel Divide, North Daniel, MT 81104",-3.305961,-65.477156,4.5,Certain art entire thing step institution clear alone investment.,2/6/2024
Kim PLC Museum,"30691 Wesley Lakes, Lake Travis, ND 66934",42.918536,44.084413,3.5,Wife least discover many head enough miss pretty consumer spend local audience this listen skin Democrat.,11/11/2024
"Lawrence, Le and Perez Park","12441 Stacy Point, Kaitlynfurt, MO 30955",30.836414,-53.593909,4,Detail writer animal direction worker imagine of hotel couple should trial.,7/6/2024
Kline and Sons Hotel,"98576 Giles Bypass Suite 244, New Maxshire, CT 80343",-67.850373,102.113483,4.6,Consider majority hear drug job night sort generation open smile successful air everyone hard special.,12/25/2024
King LLC Restaurant,"7308 Coleman Islands, North Tracey, UT 47119",-56.103822,98.76817,3.9,Food assume wait matter fact save success require pretty why.,11/13/2024
"Gross, Rodriguez and Williams Museum","465 Justin View Apt. 350, West Yesenia, TX 97894",-83.685942,-92.333258,3.4,Knowledge thing seek morning west sense gas idea work.,10/21/2024
Marshall Ltd Park,"256 Mitchell Junctions Apt. 357, Washingtonton, UT 81481",-64.077022,-47.223381,3.8,Attack kind act loss first when great bad notice ok take.,4/26/2024
King-Mcclure Park,"72545 Robinson Mount, Jonestown, FL 30914",73.163257,130.311084,4,Federal officer author boy total heart.,11/17/2024
"Anderson, Robinson and Myers Park","192 Bell Plains, Port Tina, NV 99366",86.370811,-64.014465,4.3,Either discussion sometimes sit someone moment short situation something bill hot interesting war sister.,8/2/2024
"Garrison, Nash and Barker Cafe","842 Williams Ramp, West Kimberlymouth, UT 91894",-26.757609,48.439581,3,Wife break somebody sign smile section model knowledge raise raise economy.,10/7/2024
Hunt-Lowe Hotel,"USCGC Rodriguez, FPO AP 48161",-47.754983,43.791532,4.8,If front theory part PM foot until fill along poor performance instead leader whose by teacher clearly protect specific.,4/16/2024
"Kim, Hernandez and Martinez Hotel","940 Aaron Underpass Apt. 141, Port Jamesmouth, WA 88659",10.16846,86.424592,3.4,Window task truth improve wear forward base party will able person his Mrs break wear.,8/20/2024
Smith-Rodgers Hotel,"6648 Carey Lock, Mcclainmouth, NJ 97829",-70.249005,83.643656,4.3,Bag sometimes one food resource peace magazine evening decade white.,9/17/2024
"Hess, Hansen and Webster Park","1467 Kelly Garden, Lake Douglasview, OK 91056",-34.643461,-11.56709,3.6,Final skill break as himself.,3/11/2024
Daniel-Jackson Cafe,"90044 Laura Walks, West Veronica, FL 75855",-32.086308,-138.678079,5,Building myself during return hit how writer hard.,8/22/2024
Smith-Hayes Museum,"USS Brown, FPO AE 88105",-5.353505,-57.878535,3.4,Almost easy mission to day learn husband.,4/29/2024
Rivera-Wilkins Restaurant,"PSC 4183, Box 9261, APO AE 40875",81.248622,116.17589,3.2,Beautiful security none happen dark color dark song visit fine institution any care memory.,7/18/2024
"Petersen, Garrison and Fernandez Park","598 Brian Fall Apt. 679, Dalehaven, KS 46273",11.546405,8.858312,3.2,Week take explain else image not there history.,12/3/2024
"Johnson, Velez and Wright Cafe","PSC 9444, Box 2243, APO AP 02569",58.355243,82.298005,5,Politics data interest size class sound situation.,10/29/2024
Price-Copeland Restaurant,"15100 Logan Village, Chelseafort, MN 46052",64.224937,20.781164,3.7,Move public race seek east wonder worry adult opportunity someone a say argue.,7/13/2024
Lopez PLC Hotel,"441 Gould View Apt. 117, Morenoville, NY 98594",-42.684759,21.690602,4,Week serve or buy treatment player can finally because.,12/10/2024
"Curry, Edwards and Russell Museum","03938 Jessica Vista, South Michaelview, IN 19127",-67.211212,111.634927,3.2,Position treat tough office nor serious far conference article any available national will door type budget realize difficult.,3/10/2024
Parsons-Palmer Museum,"08027 Amy Throughway Apt. 775, East Kevintown, AK 96823",-17.276327,-30.19826,3.5,Technology watch someone dinner decide.,1/12/2024
